TIPO;COD_SAP_MATERIAL;MATERIAL;NOME_COMERCIAL;SALDO;FABRICANTE;STATUS_PORTFOLIO;CHIP_COMPATIVEL;TECNOLOGIA;CD;PREVISAO_W1;PREVISAO_W2;PREVISAO_W3;PREVISAO_W4;PREVISAO_W5;VALORATE10X;VALORATE24X;SEGMENTO;TIPO_MATERIAL
;DGAP276B3000;APPLE IPHONE 17 PRO 1TB AZM;SmartPhone Apple iPhone 17 Pro 1TB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;12590;14616;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP276B3000;APPLE IPHONE 17 PRO 1TB AZM;SmartPhone Apple iPhone 17 Pro 1TB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;12590;14616;PREÇO UNIFICADO;Aparelho
;DGAP276B3000;APPLE IPHONE 17 PRO 1TB AZM;SmartPhone Apple iPhone 17 Pro 1TB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;12590;14616;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP276B3000;APPLE IPHONE 17 PRO 1TB AZM;SmartPhone Apple iPhone 17 Pro 1TB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;12590;14616;PREÇO UNIFICADO;Aparelho
;DGAP27643000;APPLE IPHONE 17 PRO 1TB PR;SmartPhone Apple iPhone 17 Pro 1TB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;12590;14616;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP27643000;APPLE IPHONE 17 PRO 1TB PR;SmartPhone Apple iPhone 17 Pro 1TB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;12590;14616;PREÇO UNIFICADO;Aparelho
;DGAP27643000;APPLE IPHONE 17 PRO 1TB PR;SmartPhone Apple iPhone 17 Pro 1TB - 5G;1;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;12590;14616;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP27643000;APPLE IPHONE 17 PRO 1TB PR;SmartPhone Apple iPhone 17 Pro 1TB - 5G;1;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;12590;14616;PREÇO UNIFICADO;Aparelho
;DGAP274B3000;APPLE IPHONE 17 PRO 256GB AZM;SmartPhone Apple iPhone 17 Pro 256GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;9820;11400;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP274B3000;APPLE IPHONE 17 PRO 256GB AZM;SmartPhone Apple iPhone 17 Pro 256GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;9820;11400;PREÇO UNIFICADO;Aparelho
;DGAP274U3000;APPLE IPHONE 17 PRO 256GB LJ;SmartPhone Apple iPhone 17 Pro 256GB - 5G;-1;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;10;;;9820;11400;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP274U3000;APPLE IPHONE 17 PRO 256GB LJ;SmartPhone Apple iPhone 17 Pro 256GB - 5G;-1;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;10;;;9820;11400;PREÇO UNIFICADO;Aparelho
;DGAP274U3000;APPLE IPHONE 17 PRO 256GB LJ;SmartPhone Apple iPhone 17 Pro 256GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;9820;11400;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP274U3000;APPLE IPHONE 17 PRO 256GB LJ;SmartPhone Apple iPhone 17 Pro 256GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;9820;11400;PREÇO UNIFICADO;Aparelho
;DGAP27443000;APPLE IPHONE 17 PRO 256GB PR;SmartPhone Apple iPhone 17 Pro 256GB - 5G;-2;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;9820;11400;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP27443000;APPLE IPHONE 17 PRO 256GB PR;SmartPhone Apple iPhone 17 Pro 256GB - 5G;-2;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;9820;11400;PREÇO UNIFICADO;Aparelho
;DGAP275B3000;APPLE IPHONE 17 PRO 512GB AZM;SmartPhone Apple iPhone 17 Pro 512GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;11390;13200;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP275B3000;APPLE IPHONE 17 PRO 512GB AZM;SmartPhone Apple iPhone 17 Pro 512GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;11390;13200;PREÇO UNIFICADO;Aparelho
;DGAP275U3000;APPLE IPHONE 17 PRO 512GB LJ;SmartPhone Apple iPhone 17 Pro 512GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;11390;13200;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP275U3000;APPLE IPHONE 17 PRO 512GB LJ;SmartPhone Apple iPhone 17 Pro 512GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;11390;13200;PREÇO UNIFICADO;Aparelho
;DGAP275U3000;APPLE IPHONE 17 PRO 512GB LJ;SmartPhone Apple iPhone 17 Pro 512GB - 5G;1;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;11390;13200;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP275U3000;APPLE IPHONE 17 PRO 512GB LJ;SmartPhone Apple iPhone 17 Pro 512GB - 5G;1;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;11390;13200;PREÇO UNIFICADO;Aparelho
;DGAP27543000;APPLE IPHONE 17 PRO 512GB PR;SmartPhone Apple iPhone 17 Pro 512GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;11390;13200;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP27543000;APPLE IPHONE 17 PRO 512GB PR;SmartPhone Apple iPhone 17 Pro 512GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;11390;13200;PREÇO UNIFICADO;Aparelho
